Time;Open;High;Low;Close;Volume;Marketcap
Feb 23, 2011;0.89;0.918;0.8617;0.918;6588.235294;0
Feb 24, 2011;0.918;1.09;0.82;1.09;12311.92661;0
Feb 25, 2011;1.09;1.1;0.8;0.9803;4094.664899;0
Feb 26, 2011;0.9803;1.09;0.9264;1.07;4429.906542;0
Feb 27, 2011;1.07;1.08;0.9906;1.08;19391.66667;0
Feb 28, 2011;1.08;1.08;1.02;1.05;3985.714286;0
Mar 01, 2011;1.05;1.08;1.033;1.07;18984.11215;0
Mar 02, 2011;1.07;1.085;1.035;1.05;2348.571429;0
Mar 03, 2011;1.05;1.05;1.02;1.045;2368.421053;0
Mar 04, 2011;1.045;1.05;1.02;1.04;2345.192308;0
Mar 05, 2011;1.04;1.04;0.7801;0.8989;12585.38213;0
Mar 06, 2011;0.8989;0.98;0.8376;0.949;11977.87144;0
Mar 07, 2011;0.949;0.949;0.83;0.85;16168.23529;0
Mar 08, 2011;0.85;0.8796;0.8313;0.8345;4885.560216;0
Mar 09, 2011;0.8345;0.95;0.8313;0.8702;4705.814755;0
Mar 10, 2011;0.8702;0.945;0.8681;0.9;8870;0
Mar 11, 2011;0.9;1;0.9;0.9974;3365.750952;0
Mar 12, 2011;0.9974;0.9998;0.9111;0.9111;4761.277577;0
Mar 13, 2011;0.9111;0.97;0.9106;0.958;620.0417537;0
Mar 14, 2011;0.958;0.958;0.89;0.89;5329.213483;0
Mar 15, 2011;0.89;0.92;0.845;0.86;2856.976744;0
Mar 16, 2011;0.86;0.97;0.8502;0.9202;7755.922626;0
Mar 17, 2011;0.9202;0.94;0.9102;0.9399;6094.265347;0
Mar 18, 2011;0.9399;0.9399;0.91;0.9391;12122.2447;0
Mar 19, 2011;0.9391;0.9391;0.9001;0.901;8772.475028;0
Mar 20, 2011;0.901;0.9189;0.8111;0.9103;4475.447655;0
Mar 21, 2011;0.9103;0.9098;0.81;0.8999;3289.254362;0
Mar 22, 2011;0.8999;0.909;0.846;0.885;10983.05085;0
Mar 23, 2011;0.885;0.885;0.85;0.87;12193.10345;0
Mar 24, 2011;0.87;0.87;0.85;0.8645;14585.30943;0
Mar 25, 2011;0.8645;0.9329;0.8497;0.9329;4650.016079;0
Mar 26, 2011;0.9329;0.925;0.8601;0.88;12027.27273;0
Mar 27, 2011;0.88;0.9197;0.88;0.918;4653.594771;0
Mar 28, 2011;0.918;0.918;0.8898;0.8925;11267.22689;0
Mar 29, 2011;0.8925;0.9;0.88;0.8949;3772.488546;0
Mar 30, 2011;0.8949;0.8949;0.87;0.87;2960.91954;0
Mar 31, 2011;0.87;0.88;0.836;0.86;6400;0
Apr 01, 2011;0.86;0.88;0.81;0.8254;3091.834262;0
Apr 02, 2011;0.8254;0.8506;0.71;0.8165;2439.681568;0
Apr 03, 2011;0.8165;0.797;0.7313;0.765;4109.803922;0
Apr 04, 2011;0.765;0.79;0.7402;0.7411;29431.92552;0
Apr 05, 2011;0.7411;0.7724;0.7405;0.759;8973.649539;0
Apr 06, 2011;0.759;0.81;0.7405;0.809;7527.812114;0
Apr 07, 2011;0.809;0.85;0.78;0.8497;10196.53996;0
Apr 08, 2011;0.8497;0.9;0.8266;0.8669;16804.70643;0
Apr 09, 2011;0.8669;0.89;0.861;0.8838;9599.456891;0
Apr 10, 2011;0.8838;0.905;0.841;0.8552;4379.09261;0
Apr 11, 2011;0.8552;0.8721;0.8152;0.82;14292.68293;0
Apr 12, 2011;0.82;0.85;0.76;0.799;54540.67584;0
